name,technology,fuel,maxPower,minPower,efficiency,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,company,heatingDistrict,year
IRSCHING 5,combined cycle gas turbine,natural gas,860,350,0.597,710,710,3.5,24.1,34.2,46.7,5,3,no,0,UNIPER,BY,0
EMSLAND LINGEN D,combined cycle gas turbine,natural gas,850,340,0.592,710,702,3.5,24.1,34.2,46.7,5,3,yes,50,RWE POWER AG,NI,0
GUD HUERTH KNAPSACK 1,combined cycle gas turbine,natural gas,800,320,0.548,660,660,3.5,24.1,34.2,46.7,5,3,yes,0,STATKRAFT AS,NW,0
KW LAUSWARD BLOCK FORTUNA GUD,combined cycle gas turbine,natural gas,595,240,0.6,500,500,3.5,24.1,34.2,46.7,5,3,yes,300,STADTWERKE DUESSELDORF,NW,0
DORMAGEN RWE,combined cycle gas turbine,natural gas,580,240,0.523,480,480,3.5,24.1,34.2,46.7,5,3,yes,480,RWE POWER AG,NW,0
IRSCHING 4,combined cycle gas turbine,natural gas,565,230,0.59,470,470,3.5,24.1,34.2,46.7,5,3,no,0,UNIPER,BY,0
KW BASF LUDWIGSHAFEN MITTE,combined cycle gas turbine,natural gas,490,200,0.56,410,410,3.5,24.1,34.2,46.7,5,3,yes,540,BASF AG,RP,0
EMSLAND LINGEN B,combined cycle gas turbine,natural gas,481,200,0.46,400,400,3.5,24.1,34.2,46.7,5,3,yes,37,RWE POWER AG,NI,0
EMSLAND LINGEN C,combined cycle gas turbine,natural gas,481,200,0.46,400,400,3.5,24.1,34.2,46.7,5,3,yes,37,RWE POWER AG,NI,0
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,combined cycle gas turbine,natural gas,445,180,0.58,370,370,3.5,24.1,34.2,46.7,5,3,yes,0,SWB AG,HB,0
BERLIN MITTE HKW,combined cycle gas turbine,natural gas,444,180,0.488,370,370,3.5,24.1,34.2,46.7,5,3,yes,1210,VATTENFALL EUROPE AG,BE,0
GUD HUERTH KNAPSACK 2,combined cycle gas turbine,natural gas,430,180,0.59,360,360,3.5,24.1,34.2,46.7,5,3,yes,0,STATKRAFT AS,NW,0
HKW MUENCHEN SUED GUD,combined cycle gas turbine,natural gas,426,180,0.54,360,360,3.5,24.1,34.2,46.7,5,3,yes,463,STADTWERKE MUENCHEN GMBH,BY,0
KW LAUSWARD BLOCK EMIL GUD,combined cycle gas turbine,natural gas,424,170,0.363,350,350,3.5,24.1,34.2,46.7,5,3,yes,140,STADTWERKE DUESSELDORF,NW,0
KW HERDECKE CUNO MARK E,combined cycle gas turbine,natural gas,417,170,0.548,350,350,3.5,24.1,34.2,46.7,5,3,yes,50,ENERVIE - SUEDWESTFALEN ENERGIE,NW,0
GERSTEINWERK BLOCK F,combined cycle gas turbine,natural gas,410,170,0.41,340,340,3.5,24.1,34.2,46.7,5,3,no,0,RWE POWER AG,NW,0
GERSTEINWERK BLOCK G,combined cycle gas turbine,natural gas,410,170,0.41,340,340,3.5,24.1,34.2,46.7,5,3,no,0,RWE POWER AG,NW,0
