,1,2
0,0.37,0.37
1,0.37,0.37
2,0.37,0.37
3,0.37,0.37
4,0.37,0.37
5,0.37,0.37
6,0.37,0.37
7,0.37,0.37
8,0.37,0.37
9,0.37,0.37
10,0.37,0.37
11,0.37,0.37
12,0.37,0.37
13,0.37,0.37
14,0.37,0.37
15,0.37,0.37
16,0.37,0.37
17,0.37,0.37
18,0.37,0.37
19,0.37,0.37
20,0.37,0.37
21,0.37,0.37
22,0.37,0.37
23,0.37,0.37
24,0.37,0.37
25,0.37,0.37
26,0.37,0.37
27,0.37,0.37
28,0.37,0.37
29,0.37,0.37
30,0.37,0.37
31,0.37,0.37
32,0.37,0.37
33,0.37,0.37
34,0.37,0.37
35,0.37,0.37
36,0.37,0.37
37,0.37,0.37
38,0.37,0.37
39,0.37,0.37
40,0.37,0.37
41,0.37,0.37
42,0.37,0.37
43,0.37,0.37
44,0.37,0.37
45,0.37,0.37
46,0.37,0.37
47,0.37,0.37
48,0.37,0.37
49,0.37,0.37
50,0.37,0.37
51,0.37,0.37
52,0.37,0.37
53,0.37,0.37
54,0.37,0.37
55,0.37,0.37
56,0.37,0.37
57,0.37,0.37
58,0.37,0.37
59,0.37,0.37
60,0.37,0.37
61,0.37,0.37
62,0.37,0.37
63,0.37,0.37
64,0.37,0.37
65,0.37,0.37
66,0.37,0.37
67,0.37,0.37
68,0.37,0.37
69,0.37,0.37
70,0.37,0.37
71,0.37,0.37
72,0.37,0.37
73,0.37,0.37
74,0.37,0.37
75,0.37,0.37
76,0.37,0.37
77,0.37,0.37
78,0.37,0.37
79,0.37,0.37
80,0.37,0.37
81,0.37,0.37
82,0.37,0.37
83,0.37,0.37
84,0.37,0.37
85,0.37,0.37
86,0.37,0.37
87,0.37,0.37
88,0.37,0.37
89,0.37,0.37
90,0.37,0.37
91,0.37,0.37
92,0.37,0.37
93,0.37,0.37
94,0.37,0.37
95,0.37,0.37
96,0.37,0.37
97,0.37,0.37
98,0.37,0.37
99,0.37,0.37
100,0.37,0.37
101,0.37,0.37
102,0.37,0.37
103,0.37,0.37
104,0.37,0.37
105,0.37,0.37
106,0.37,0.37
107,0.37,0.37
108,0.37,0.37
109,0.37,0.37
110,0.37,0.37
111,0.37,0.37
112,0.37,0.37
113,0.37,0.37
114,0.37,0.37
115,0.37,0.37
116,0.37,0.37
117,0.37,0.37
118,0.37,0.37
119,0.37,0.37
120,0.37,0.37
121,0.37,0.37
122,0.37,0.37
123,0.37,0.37
124,0.37,0.37
125,0.37,0.37
126,0.37,0.37
127,0.37,0.37
128,0.37,0.37
129,0.37,0.37
130,0.37,0.37
131,0.37,0.37
132,0.37,0.37
133,0.37,0.37
134,0.37,0.37
135,0.37,0.37
136,0.37,0.37
137,0.37,0.37
138,0.37,0.37
139,0.37,0.37
140,0.37,0.37
141,0.37,0.37
142,0.37,0.37
143,0.37,0.37
144,0.37,0.37
145,0.37,0.37
146,0.37,0.37
147,0.37,0.37
148,0.37,0.37
149,0.37,0.37
150,0.37,0.37
151,0.37,0.37
152,0.37,0.37
153,0.37,0.37
154,0.37,0.37
155,0.37,0.37
156,0.37,0.37
157,0.37,0.37
158,0.37,0.37
159,0.37,0.37
160,0.37,0.37
161,0.37,0.37
162,0.37,0.37
163,0.37,0.37
164,0.37,0.37
165,0.37,0.37
166,0.37,0.37
167,0.37,0.37
168,0.37,0.37
169,0.37,0.37
170,0.37,0.37
171,0.37,0.37
172,0.37,0.37
173,0.37,0.37
174,0.37,0.37
175,0.37,0.37
176,0.37,0.37
177,0.37,0.37
178,0.37,0.37
179,0.37,0.37
180,0.37,0.37
181,0.37,0.37
182,0.37,0.37
183,0.37,0.37
184,0.37,0.37
185,0.37,0.37
186,0.37,0.37
187,0.37,0.37
188,0.37,0.37
189,0.37,0.37
190,0.37,0.37
191,0.37,0.37
192,0.37,0.37
193,0.37,0.37
194,0.37,0.37
195,0.37,0.37
196,0.37,0.37
197,0.37,0.37
198,0.37,0.37
199,0.37,0.37
200,0.37,0.37
201,0.37,0.37
202,0.37,0.37
203,0.37,0.37
204,0.37,0.37
205,0.37,0.37
206,0.37,0.37
207,0.37,0.37
208,0.37,0.37
209,0.37,0.37
210,0.37,0.37
211,0.37,0.37
212,0.37,0.37
213,0.37,0.37
214,0.37,0.37
215,0.37,0.37
216,0.37,0.37
217,0.37,0.37
218,0.37,0.37
219,0.37,0.37
220,0.37,0.37
221,0.37,0.37
222,0.37,0.37
223,0.37,0.37
224,0.37,0.37
225,0.37,0.37
226,0.37,0.37
227,0.37,0.37
228,0.37,0.37
229,0.37,0.37
230,0.37,0.37
231,0.37,0.37
232,0.37,0.37
233,0.37,0.37
234,0.37,0.37
235,0.37,0.37
236,0.37,0.37
237,0.37,0.37
238,0.37,0.37
239,0.37,0.37
240,0.37,0.37
241,0.37,0.37
242,0.37,0.37
243,0.37,0.37
244,0.37,0.37
245,0.37,0.37
246,0.37,0.37
247,0.37,0.37
248,0.37,0.37
249,0.37,0.37
250,0.37,0.37
251,0.37,0.37
252,0.37,0.37
253,0.37,0.37
254,0.37,0.37
255,0.37,0.37
256,0.37,0.37
257,0.37,0.37
258,0.37,0.37
259,0.37,0.37
260,0.37,0.37
261,0.37,0.37
262,0.37,0.37
263,0.37,0.37
264,0.37,0.37
265,0.37,0.37
266,0.37,0.37
267,0.37,0.37
268,0.37,0.37
269,0.37,0.37
270,0.37,0.37
271,0.37,0.37
272,0.37,0.37
273,0.37,0.37
274,0.37,0.37
275,0.37,0.37
276,0.37,0.37
277,0.37,0.37
278,0.37,0.37
279,0.37,0.37
280,0.37,0.37
281,0.37,0.37
282,0.37,0.37
283,0.37,0.37
284,0.37,0.37
285,0.37,0.37
286,0.37,0.37
287,0.37,0.37
288,0.37,0.37
289,0.37,0.37
290,0.37,0.37
291,0.37,0.37
292,0.37,0.37
293,0.37,0.37
294,0.37,0.37
295,0.37,0.37
296,0.37,0.37
297,0.37,0.37
298,0.37,0.37
299,0.37,0.37
300,0.37,0.37
301,0.37,0.37
302,0.37,0.37
303,0.37,0.37
304,0.37,0.37
305,0.37,0.37
306,0.37,0.37
307,0.37,0.37
308,0.37,0.37
309,0.37,0.37
310,0.37,0.37
311,0.37,0.37
312,0.37,0.37
313,0.37,0.37
314,0.37,0.37
315,0.37,0.37
316,0.37,0.37
317,0.37,0.37
318,0.37,0.37
319,0.37,0.37
320,0.37,0.37
321,0.37,0.37
322,0.37,0.37
323,0.37,0.37
324,0.37,0.37
325,0.37,0.37
326,0.37,0.37
327,0.37,0.37
328,0.37,0.37
329,0.37,0.37
330,0.37,0.37
331,0.37,0.37
332,0.37,0.37
333,0.37,0.37
334,0.37,0.37
335,0.37,0.37
336,0.37,0.37
337,0.37,0.37
338,0.37,0.37
339,0.37,0.37
340,0.37,0.37
341,0.37,0.37
342,0.37,0.37
343,0.37,0.37
344,0.37,0.37
345,0.37,0.37
346,0.37,0.37
347,0.37,0.37
348,0.37,0.37
349,0.37,0.37
350,0.37,0.37
351,0.37,0.37
352,0.37,0.37
353,0.37,0.37
354,0.37,0.37
355,0.37,0.37
356,0.37,0.37
357,0.37,0.37
358,0.37,0.37
359,0.37,0.37
360,0.37,0.37
361,0.37,0.37
362,0.37,0.37
363,0.37,0.37
364,0.37,0.37
365,0.37,0.37
366,0.37,0.37
367,0.37,0.37
368,0.37,0.37
369,0.37,0.37
370,0.37,0.37
371,0.37,0.37
372,0.37,0.37
373,0.37,0.37
374,0.37,0.37
375,0.37,0.37
376,0.37,0.37
377,0.37,0.37
378,0.37,0.37
379,0.37,0.37
380,0.37,0.37
381,0.37,0.37
382,0.37,0.37
383,0.37,0.37
384,0.37,0.37
385,0.37,0.37
386,0.37,0.37
387,0.37,0.37
388,0.37,0.37
389,0.37,0.37
390,0.37,0.37
391,0.37,0.37
392,0.37,0.37
393,0.37,0.37
394,0.37,0.37
395,0.37,0.37
396,0.37,0.37
397,0.37,0.37
398,0.37,0.37
399,0.37,0.37
400,0.37,0.37
401,0.37,0.37
402,0.37,0.37
403,0.37,0.37
404,0.37,0.37
405,0.37,0.37
406,0.37,0.37
407,0.37,0.37
408,0.37,0.37
409,0.37,0.37
410,0.37,0.37
411,0.37,0.37
412,0.37,0.37
413,0.37,0.37
414,0.37,0.37
415,0.37,0.37
416,0.37,0.37
417,0.37,0.37
418,0.37,0.37
419,0.37,0.37
420,0.37,0.37
421,0.37,0.37
422,0.37,0.37
423,0.37,0.37
424,0.37,0.37
425,0.37,0.37
426,0.37,0.37
427,0.37,0.37
428,0.37,0.37
429,0.37,0.37
430,0.37,0.37
431,0.37,0.37
432,0.37,0.37
433,0.37,0.37
434,0.37,0.37
435,0.37,0.37
436,0.37,0.37
437,0.37,0.37
438,0.37,0.37
439,0.37,0.37
440,0.37,0.37
441,0.37,0.37
442,0.37,0.37
443,0.37,0.37
444,0.37,0.37
445,0.37,0.37
446,0.37,0.37
447,0.37,0.37
448,0.37,0.37
449,0.37,0.37
450,0.37,0.37
451,0.37,0.37
452,0.37,0.37
453,0.37,0.37
454,0.37,0.37
455,0.37,0.37
456,0.37,0.37
457,0.37,0.37
458,0.37,0.37
459,0.37,0.37
460,0.37,0.37
461,0.37,0.37
462,0.37,0.37
463,0.37,0.37
464,0.37,0.37
465,0.37,0.37
466,0.37,0.37
467,0.37,0.37
468,0.37,0.37
469,0.37,0.37
470,0.37,0.37
471,0.37,0.37
472,0.37,0.37
473,0.37,0.37
474,0.37,0.37
475,0.37,0.37
476,0.37,0.37
477,0.37,0.37
478,0.37,0.37
479,0.37,0.37
480,0.37,0.37
481,0.37,0.37
482,0.37,0.37
483,0.37,0.37
484,0.37,0.37
485,0.37,0.37
486,0.37,0.37
487,0.37,0.37
488,0.37,0.37
489,0.37,0.37
490,0.37,0.37
491,0.37,0.37
492,0.37,0.37
493,0.37,0.37
494,0.37,0.37
495,0.37,0.37
496,0.37,0.37
497,0.37,0.37
498,0.37,0.37
499,0.37,0.37
500,0.37,0.37
501,0.37,0.37
502,0.37,0.37
503,0.37,0.37
504,0.37,0.37
505,0.37,0.37
506,0.37,0.37
507,0.37,0.37
508,0.37,0.37
509,0.37,0.37
510,0.37,0.37
511,0.37,0.37
512,0.37,0.37
513,0.37,0.37
514,0.37,0.37
515,0.37,0.37
516,0.37,0.37
517,0.37,0.37
518,0.37,0.37
519,0.37,0.37
520,0.37,0.37
521,0.37,0.37
522,0.37,0.37
523,0.37,0.37
524,0.37,0.37
525,0.37,0.37
526,0.37,0.37
527,0.37,0.37
528,0.37,0.37
529,0.37,0.37
530,0.37,0.37
531,0.37,0.37
532,0.37,0.37
533,0.37,0.37
534,0.37,0.37
535,0.37,0.37
536,0.37,0.37
537,0.37,0.37
538,0.37,0.37
539,0.37,0.37
540,0.37,0.37
541,0.37,0.37
542,0.37,0.37
543,0.37,0.37
544,0.37,0.37
545,0.37,0.37
546,0.37,0.37
547,0.37,0.37
548,0.37,0.37
549,0.37,0.37
550,0.37,0.37
551,0.37,0.37
552,0.37,0.37
553,0.37,0.37
554,0.37,0.37
555,0.37,0.37
556,0.37,0.37
557,0.37,0.37
558,0.37,0.37
559,0.37,0.37
560,0.37,0.37
561,0.37,0.37
562,0.37,0.37
563,0.37,0.37
564,0.37,0.37
565,0.37,0.37
566,0.37,0.37
567,0.37,0.37
568,0.37,0.37
569,0.37,0.37
570,0.37,0.37
571,0.37,0.37
572,0.37,0.37
573,0.37,0.37
574,0.37,0.37
575,0.37,0.37
576,0.37,0.37
577,0.37,0.37
578,0.37,0.37
579,0.37,0.37
580,0.37,0.37
581,0.37,0.37
582,0.37,0.37
583,0.37,0.37
584,0.37,0.37
585,0.37,0.37
586,0.37,0.37
587,0.37,0.37
588,0.37,0.37
589,0.37,0.37
590,0.37,0.37
591,0.37,0.37
592,0.37,0.37
593,0.37,0.37
594,0.37,0.37
595,0.37,0.37
596,0.37,0.37
597,0.37,0.37
598,0.37,0.37
599,0.37,0.37
600,0.37,0.37
601,0.37,0.37
602,0.37,0.37
603,0.37,0.37
604,0.37,0.37
605,0.37,0.37
606,0.37,0.37
607,0.37,0.37
608,0.37,0.37
609,0.37,0.37
610,0.37,0.37
611,0.37,0.37
612,0.37,0.37
613,0.37,0.37
614,0.37,0.37
615,0.37,0.37
616,0.37,0.37
617,0.37,0.37
618,0.37,0.37
619,0.37,0.37
620,0.37,0.37
621,0.37,0.37
622,0.37,0.37
623,0.37,0.37
624,0.37,0.37
