ID,Name,Node,Latitude,Longitude,Technology,Fuel,Commissioning,Capacity,Efficiency,Emission,Transport,Electrical Storage,CHP technology,CHP network,Power to heat factor,Electricity reduction,Max. heat 
BNA0005,Ahrensfelde,363,52.59,13.56,Gas turbine,Natural gas,1990,37.5,0.354,0.570,0.00,0,,,,,
BNA0006,Ahrensfelde,363,52.59,13.56,Gas turbine,Natural gas,1990,37.5,0.354,0.570,0.00,0,,,,,
BNA0007,Ahrensfelde,363,52.59,13.56,Gas turbine,Natural gas,1990,37.5,0.354,0.570,0.00,0,,,,,
BNA0008,Ahrensfelde,363,52.59,13.56,Gas turbine,Natural gas,1990,37.5,0.354,0.570,0.00,0,,,,,
BNA0012b,Werkskraftwerk Sappi Alfeld,223,51.99,9.82,Steam turbine,Natural gas,1947,20,0.327,0.618,0.00,0,EXT,DH_DE_Ind,0.39,0.15,37
BNA0015,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Gas turbine,Natural gas,1997,65,0.372,0.542,0.00,0,EXT,DH_DE_Neckar,0.50,0.00,130
BNA0016,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Gas turbine,Natural gas,1971,50,0.305,0.663,0.00,0,,,,0.00,
BNA0017,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Gas turbine,Natural gas,1973,57,0.310,0.651,0.00,0,,,,0.00,
BNA0018,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Gas turbine,Natural gas,1975,81,0.315,0.641,0.00,0,,,,0.00,
BNA0019,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Steam turbine,Hard coal,1997,336,0.440,0.773,3.35,0,EXT,DH_DE_Neckar,0.52,0.15,280
BNA0020,Heizkraftwerk Altbach/Deizisau,46,48.72,9.37,Steam turbine,Hard coal,1985,433,0.455,0.747,3.24,0,EXT,DH_DE_Neckar,0.60,0.15,280
BNA0025,Kesselhaus Zuckerfabrik,417,53.86,13.71,Steam turbine,Natural gas,1993,15.1,0.377,0.535,0.00,0,BKP,DH_DE_Ind,0.48,,31
BNA0033,Gasturbine,296,48.40,10.94,Gas turbine,Natural gas,2004,28.8,0.390,0.517,0.00,0,EXT,DH_DE_Rem,0.70,0.00,41
BNA0051,KWK-Anlage Barby,373,51.98,11.88,Steam turbine,Natural gas,2013,18,0.377,0.535,0.00,0,BKP,DH_DE_Ind,0.65,,28
BNA0059b,"GuD Baunatal, VW Werksgelände",226,51.25,9.44,Combined cycle,Natural gas,2013,78,0.599,0.337,0.00,0,EXT,DH_DE_Ind,0.70,0.00,111
BNA0067,Bergkamen,145,51.64,7.62,Steam turbine,Hard coal,1981,717,0.378,0.901,2.60,0,,,,,
BNA0070,HKW Adlershof,364,52.43,13.56,Gas turbine,Natural gas,2010,8,0.406,0.497,0.00,0,,,,,
BNA0071,HKW Adlershof,364,52.43,13.56,Gas turbine,Natural gas,1996,5,0.370,0.546,0.00,0,,,,,
BNA0072,HKW Adlershof,364,52.43,13.56,Gas turbine,Natural gas,2002,7,0.385,0.524,0.00,0,,,,,
BNA0073,Mitte,369,52.51,13.42,Combined cycle,Natural gas,1996,444,0.522,0.387,0.00,0,EXT,DH_DE_Berlin,0.48,0.15,638
BNA0074,Charlottenburg,370,52.52,13.31,Gas turbine,Natural gas,1975,211,0.380,0.531,0.00,0,EXT,DH_DE_Berlin,0.53,0.17,300
BNA0075,Lichterfelde,370,52.43,13.31,Steam turbine,Natural gas,1972,144,0.383,0.527,0.00,0,EXT,DH_DE_Berlin,0.42,0.15,240
BNA0076,Lichterfelde,370,52.43,13.31,Steam turbine,Natural gas,1974,144,0.383,0.527,0.00,0,EXT,DH_DE_Berlin,0.42,0.15,240
BNA0080,Lichterfelde,370,52.43,13.31,Steam turbine,Natural gas,1973,144,0.383,0.527,0.00,0,EXT,DH_DE_Berlin,0.42,0.15,240
BNA0081,Klingenberg,364,52.49,13.50,Steam turbine,Lignite,1981,164,0.357,1.018,0.00,0,BKP,DH_DE_Berlin,0.38,,432
BNA0082,Reuter,371,52.53,13.25,Steam turbine,Hard coal,1969,124,0.348,0.979,1.41,0,EXT,DH_DE_Berlin,0.36,0.15,244
BNA0083,Wilmersdorf,370,52.48,13.31,Steam turbine,Oil(light),1977,276,0.360,0.740,0.00,0,BKP,DH_DE_Berlin,0.84,,330
