name,technology,maxPower_charge,maxPower_discharge,efficiency_charge,efficiency_discharge,minSOC,maxSOC,variableCosts_charge,variableCosts_discharge,natural_inflow,company,node
Tanzmühle - Rabenleite,PSPP,25,35,0.81,0.88,0,404,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND,0
Schwarzenbachwerk,PSPP,20,46,0.73,0.82,0,198,0.28,0.28,1.2,ENBW ENERGIE BADEN-WURTTEMBERG,0
Leitzach II,PSPP,38,49,0.86,0.9,0,550,0.28,0.28,0.7,STADTWERKE MUENCHEN GMBH,0
Leitzach I,PSPP,40,51,0.86,0.9,0,550,0.28,0.28,1.8,STADTWERKE MUENCHEN GMBH,0
Hohenwarte I,PSPP,34,63,0.8,0.87,0,504,0.28,0.28,1.9,VATTENFALL EUROPE AG,0
Bleiloch,PSPP,32,80,0.8,0.87,0,640,0.28,0.28,1.3,VATTENFALL EUROPE AG,0
Wendefurth,PSPP,72,80,0.82,0.88,0,523,0.28,0.28,0,VATTENFALL EUROPE AG,0
Glems,PSPP,68,90,0.84,0.89,0,560,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG,0
Reisach - Rabenleite,PSPP,84,100,0.85,0.9,0,630,0.28,0.28,0,GDF SUEZ ENERGIE DEUTSCHLAND,0
Geesthacht,PSPP,96,105,0.81,0.87,0,600,0.28,0.28,0,VATTENFALL EUROPE AG,0
Rönkhausen,PSPP,140,140,0.85,0.9,0,690,0.28,0.28,0,ENERVIE - SUEDWESTFALEN ENERGIE,0
Waldeck I,PSPP,96,140,0.87,0.92,0,478,0.28,0.28,0,UNIPER,0
Häusern,PSPP,104,144,0.82,0.88,0,514,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG,0
Koepchenwerk Herdecke II,PSPP,153,153,0.85,0.9,0,590,0.28,0.28,0,RWE POWER AG,0
Happurg,PSPP,126,160,0.83,0.89,0,900,0.28,0.28,0,UNIPER,0
Langenprozelten,PSPP,154,168,0.85,0.9,0,950,0.28,0.28,0,UNIPER,0
Waldshut,PSPP,80,176,0.79,0.86,0,581,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG,0
Erzhausen,PSPP,230,220,0.84,0.9,0,940,0.28,0.28,0,STATKRAFT AS,0
Witznau,PSPP,128,220,0.77,0.84,0,880,0.28,0.28,0,ENBW ENERGIE BADEN-WURTTEMBERG,0
Hohenwarte II,PSPP,310,320,0.8,0.87,0,2087,0.28,0.28,0,VATTENFALL EUROPE AG,0
Säckingen,PSPP,301,353,0.86,0.91,0,2064,0.28,0.28,1.8,ENBW ENERGIE BADEN-WURTTEMBERG,0
Waldeck II,PSPP,476,440,0.87,0.92,0,3428,0.28,0.28,0,UNIPER,0
Wehr,PSPP,1000,992,0.86,0.9,0,6076,0.28,0.28,0,RWE POWER AG,0
Markersbach,PSPP,1140,1050,0.84,0.89,0,4018,0.28,0.28,0,VATTENFALL EUROPE AG,0
Goldisthal,PSPP,1140,1060,0.88,0.92,0,8480,0.28,0.28,0,VATTENFALL EUROPE AG,0
